12步杀9570,1r2kaP2/4a4/n1R1b4/4R2N1/9/9/9/9/3p1pr2/4K4 w
12步杀9592,3a5/4a4/1N3k3/1Np1p4/9/9/6P1R/9/3p1pp2/r1c1K3R w
#12步杀9593,3k5/4aN3/2R2a3/5n3/2R6/9/1pP6/B1n1BA1N1/1r2A1p2/c4K3 w
13步杀9517,6P2/4k4/3P1R3/2P2c3/3PNN3/9/r8/3p5/4p4/3K5 w
13步杀9568,5k3/4a4/3aRc3/4P4/9/2R4N1/2np5/2rA5/3KA4/9 w
13步杀9640,3a1k3/4a4/b3b4/1P2pN2p/9/2B4R1/2r1cp3/4B4/2p1A4/4KA3 w
13步杀9641,7n1/3k5/2Pa5/3R1cN1n/9/9/1r7/3p5/4p4/3K5 w
13步杀9642,6R2/4a4/1P1k2P2/2N6/9/9/1r7/3p5/4p4/3K5 w
13步杀9643,1P7/6R2/3k5/4P4/9/9/1r3cN2/3p5/4p4/3K5 w
13步杀9644,3R5/5k3/2P1P4/2c6/9/6N2/1r7/9/2p1p4/3K5 w
13步杀9645,6c2/9/2P2k3/4R4/4P3N/9/1r7/9/2p1p4/3K5 w
13步杀9646,9/9/3k1aN2/2R2P3/5P3/9/3c2r2/5p3/4p4/5K3 w
13步杀9647,5k3/6RP1/2n6/1N3P3/9/9/7r1/5p3/4p4/5K3 w
13步杀9648,3a5/2P1k4/c4a3/1np1PR3/4N4/6n2/6r2/5p3/4p4/5K3 w
13步杀9649,9/9/2P2k3/3PR4/3P5/7N1/7r1/5p3/4p4/5K3 w
13步杀9650,2P6/4k4/5NR2/5P3/3P5/9/r1c6/3p5/4p4/3K5 w
13步杀9651,3k5/5P1P1/1NP6/9/9/4R4/3c3r1/5p3/4p4/5K3 w
13步杀9652,5k3/2PP1c3/5N3/3PR4/9/9/9/1r1p5/4p4/3K5 w
13步杀9653,9/9/3k1cP2/2R2P3/5P3/3N5/9/3p5/1r2p4/3K5 w
13步杀9654,1c1P1k3/4a4/3cPP3/9/9/7N1/9/2r6/4p4/3KR4 w
13步杀9655,2b2R3/4k4/1N4P2/4PP3/3c5/9/6r2/3n5/4p4/5K3 w
13步杀9656,3R5/4k1PP1/9/2p6/3P1N3/9/r8/3K5/2p6/3c1n3 w
13步杀9657,9/1PP1k4/5cP2/5N3/5R3/9/3c5/r2p5/3np4/3K5 w
13步杀9658,9/1P7/3k4b/4RP3/4P1N2/4n4/9/3n5/3r1p3/4K4 w
13步杀9659,3k5/2P3PP1/9/3PR4/9/9/1N7/1r1p5/4p4/3K5 w
13步杀9660,6P2/4k4/2PP3P1/2c2R3/9/9/3N5/3p5/1r2p4/3K5 w
13步杀9661,6R2/4k4/4N4/3P1PP2/4P4/9/9/3p5/4p4/3K1c1r1 w
13步杀9662,2P1P4/1P3k3/6cN1/3PR4/2b6/9/9/3pp4/4r4/3K5 w
13步杀9663,9/4kc3/5PP2/3P3R1/2N2Pb1P/2B1pn2r/3p1p1r1/4pnp2/5K3/9 w
13步杀9718,2Ra1a3/2P1k4/4N4/5c3/9/2N6/9/4p4/1r3r3/4K4 w
13步杀9719,2R2aPrN/3k5/9/3N5/9/9/9/9/9/ccpp1Knnr w
13步杀9720,3R5/6P2/4k4/3N1r3/3P1N3/9/9/9/2p1p4/1p1Kc2r1 w
13步杀9762,1rPak1b2/7R1/4bR3/4N4/9/9/9/9/2p1p4/3K5 w
13步杀9763,9/3ka4/4NP3/4R4/3PPP3/2rR5/9/3p5/4p4/3K5 w
13步杀9783,2b4P1/3Rak3/3ab3N/9/8N/9/3c3c1/5p3/2r1p4/1R3K3 w
13步杀9784,9/2NkaR3/3N2P2/3P2p2/3Rpn3/3p2p2/3r2r2/2cpnK3/9/9 w
