name,type_red,type_black,fen,branchs,steps,moves
春回大地 红先胜.xqf,双车马炮相,车双卒士,3R5/4k4/2Na5/5R3/9/2B6/9/4C4/2rp1p3/4K4 w,1,17,d9d8 e8e9 f6e6 e9f9 d8f8 f9f8 c7d9 f8f9 d9e7 d7e8 e6f6 f9e9 e7c8 e9d9 f6d6 e8d7 d6d7
现代排局_28 似守实攻.XQF,车马炮兵相,车马三卒,n2k5/4N3P/9/9/r2C5/9/9/4BR3/1p2p2p1/5K3 w,3,17,f2f9 d9d8 f9a9 a5c5 a9a8 d8d9 i8h8 h1g1 e8d6 c5d5 a8a9 d9d8 d6f7 d8e8 a9e9 e8f8 h8g8|f2f9 d9d8 f9a9 h1g1 a9a8 d8d9 e8c7 d9e9 a8e8|f2f9 d9d8 f9a9 d8e8 a9a5 h1g1 d5d1
调虎离山 红先胜.xqf,车马炮兵,车马三卒双士,4ka2r/4aP3/9/9/9/6N2/9/RC1p1n3/2p1p4/3K5 w,1,17,a2a9 e8d9 b2b9 d9e8 b9b5 e8d9 f8e8 e9e8 g4f6 e8e9 b5b9 d9e8 b9b7 e8d9 f6d7 e9e8 a9a8
长虹戏日 红先胜.xqf,马炮兵仕,双车马卒,1r7/3k5/2P6/8p/4N4/4C4/9/1n6r/4A4/4K4 w,1,17,c7d7 d8d9 e5c6 i2i0 e1f0 i0f0 e0f0 b2d1 f0f1 d1e3 f1e1 b9b1 e1e0 b1b0 e0e1 e3g2 e1d1
飞雪迎春 红先胜.xqf,双车炮兵,车三卒士象全,2bak3C/4a4/4b4/3P2RR1/2r6/9/9/9/3p1p3/2p1K4 w,1,17,h6h9 e8f9 h9h8 f9e8 g6g9 e8f9 h8e8 d9e8 g9g8 e7g9 g8e8 e9d9 e8e9 d9d8 d6d7 d8d7 e9d9
七贤过关.XQF,双车马双炮双兵仕相全,车双炮双卒士象全,C2k1ab2/1R2a4/1R2b1P2/4C4/N8/2P6/9/4B4/2cpAp1r1/4KABc1 w,1,19,b7d7 e8d7 b8b9 e7c9 b9c9 d9d8 a5b7 d8e8 c9e9 e8f8 g7g8 f8f7 b7d6 d7e8 e9e8 f9e8 a9e9 e8d7 e6e8
兵不在多 红先胜.xqf,双兵,士双象,2b1k4/4aP3/4b4/5P3/9/9/9/9/4K4/9 w,1,19,f6e6 e8f7 e6d6 f7e8 e1d1 c9a7 d6c6 a7c9 c6c7 c9a7 c7c8 a7c5 c8d8 e8d7 d1e1 c5a7 e1f1 a7c5 f8f9
天上人间.XQF,双车双马炮多兵相,双车双马双炮多卒,3PP4/1P5n1/1P2k4/9/1N2P4/2N3p2/4p4/2p1pcRR1/1nrp1KCr1/2Bc5 w,2,19,e5e6 e7d7 b7c7 d7d8 b8c8 d8e8 c4d6 d0d6 b5d6 e8f8 g2f2 e2f2 h2f2 e3f3 f2f3 g4f4 f3f4 h8f7 f4f7|e5e6 e7e8 c4d6 d0d6 b5d6 e8f8 g2f2 e2f2 h2f2 e3f3 f2f3 g4f4 f3f4 h8f7 f4f7
妙手回春 红先胜.xqf,车兵,双卒士象全,2bak4/4a4/4b4/4P4/9/4R4/3pp4/9/4K4/9 w,1,19,e4c4 e9f9 c4c7 f9e9 e6d6 e9f9 d6c6 f9e9 c6b6 e9f9 b6b7 f9e9 b7b8 e9f9 b8c8 f9e9 c8d8 e9f9 c7e7
妙献车马.XQF,双车马兵,双车双炮三卒双士象,3k1aP2/6N2/1r1a2R2/4p4/R1b1c4/9/9/5p3/p1c2r3/3K5 w,1,19,a5a9 d9d8 a9a8 d8d9 a8b8 b7a7 g7f7 f9e8 g8e7 c5e7 b8e8 c1c9 f7f9 c9f9 g9f9 f1f0 d0d1 a1b1 f9e9
完璧归赵.XQF,双车马炮双兵,双车炮多卒士象全,2bak2r1/4aP2R/2R1b4/6p1p/1Np6/2C6/8P/9/3pr4/5K2c w,1,19,i8i9 h9i9 c7e7 c5c4 b5d6 e1f1 f0f1 i0c0 e7c7 e8d7 c7d7 i9h9 d7h7 h9g9 h7f7 d9e8 f8e8 e9d9 f7d7
平地惊雷 红先胜.xqf,马炮兵相,马双炮卒,2P1kn3/5cc2/9/1N4p2/9/9/9/4C3B/9/4K4 w,1,19,e2e8 f9h8 b6d7 e9f9 e8g8 f8e8 c9d9 e8e7 g8a8 h8f7 e0f0 f9f8 f0f1 g6g5 f1f0 f8f9 a8a7 f9f8 a7e7
弈海烟波_孔雀东南飞.XQF,车炮,车马双卒士象全,2bk1a3/4a4/b8/9/9/9/1R7/1C7/1p1p5/rn2K4 w,1,19,b3d3 d9e9 d3d8 a7c5 b2h2 c5e7 h2h9 e7g9 d8e8 e9d9 e8f8 c9e7 f8f9 d9d8 f9f8 d8d7 h9h7 e7g5 f8f6
弈海烟波_开门见山.XQF,双车马炮多兵相,双车双马炮三卒象,5k3/3P1nP2/6P2/3P5/2bC2N2/2R1pp3/2r1p1r2/2nKBRc2/9/9 w,1,19,g8f8 f9f8 g7f7 f8f9 d5f5 f9e9 d8e8 e9e8 f7e7 e8e7 c4e4 f4e4 d6e6 e7e8 f5e5 c5e7 e6e7 e8e7 g5e6
弈海烟波_普天同庆.XQF,马炮双兵,双车双马炮双卒士,9/4a4/4k4/2pnpNP2/4P4/4C4/9/9/2rnKcr2/9 w,4,19,e5d5 e7f7 e4f4 f7e7 f6g8 e7d7 d5d6 d7d8 f4d4 e8d7 d6e6 d8e8 e6e7 e8f8 e7f7 f8f7 g6f6 f7f8 d4f4|e5d5 e7f7 e4f4 f7e7 f6g8 e7d7 d5d6 d7d8 f4d4 e8d7 d6e6 d7e8 e6d6 e8d7 d6d7 d8d7 g8f6 d7d8 f6d5|e5d5 e7d7 d5d6 d7d8 e4d4 e8d7 d6e6 d7e8 e6d6 e8d7 d6d7|e5e6 e7d7 e6d6 d7e7 f6g8 f1f8
