name,type_red,type_black,fen,branchs,steps,moves
实战杀局欣赏B4.XQF,车双马炮三兵仕相全,车马双炮卒士象全,4kab2/4a4/3c3c1/R2N3N1/2b1P3p/9/P2r3nP/3CB4/4A4/2BAK4 w,2,11,a6a9 d7d9 d6c8 d3d8 h6f7 e8f7 a9d9|a6a9 e8d9 h6f7 e9e8 a9a8 e8e7 d6f5 e7f7 f5h6 f7e7 e5e6
实战杀局欣赏B6.XQF,双车双马炮双兵仕相全,双车马双炮三卒双士,1r1ak1r2/2NnaR3/5R3/6p1p/2P6/4p4/4c3P/4C1N1B/4AK3/2BA4c w,1,11,g2e3 e8f7 f8d8 e9f9 e2e4 i0c0 d8d9 b9d9 e4f4 f7e8 e3f5
实战杀局欣赏B8.XQF,双车双马炮双兵仕相全,双车双马炮多卒士象全,2bakab2/9/6c2/p1Nnp4/3n1rp1p/2R6/P7P/1r2B3B/4A4/2CRKA1N1 w,1,11,c6d4 f5f7 c0c9 d9e8 c9a9 d5f4 c4c9 e8d9 d4e6 g9e7 d0d6
实战杀局欣赏B9.XQF,车马双炮三兵仕相全,双车炮双卒士象全,4kab2/4a2r1/2C1b2N1/p3C3p/5r3/P6R1/4P3P/6c2/9/2BAKAB2 w,1,11,h4b4 e9d9 b4d4 d9e9 d0e1 f5e5 h7g5 e5b5 e0d0 b5b9 d4d7
实战杀局欣赏C1.XQF,双车双马双炮双兵仕相全,双车双马双炮双卒士象全,3rkab2/3na2r1/2c1b1n2/C2R4p/2p1N4/P8/3R4P/4C1N2/2c6/2BAKAB2 w,1,11,d6d8 d9d8 d3d8 h8h6 a6g6 g7i8 d8d7 e7c9 e5f7 e8f7 g6e6
实战杀局欣赏C4.XQF,车双炮三兵仕双相,车双马三卒士象全,C3kab2/9/4ba3/2p5p/P6n1/2P1P1p2/1C3Rn2/4B4/1r2A4/2B1K4 w,1,11,e0d0 e7c5 e4e5 g3i2 f3d3 h5f4 d3d9 e9e8 d9d8 e8e7 b3e3
实战杀局欣赏C6.XQF,双车马炮多兵仕双相,双车炮三卒双士象,3a1k3/4a4/3cb4/C1p1p3p/5r3/2P6/P2RP3P/2N1B4/4K2R1/2BA1r3 w,1,11,h1h9 f9f8 a6a8 d7d8 h9h1 d8c8 d3d9 f5b5 h1h8 f8f7 d9f9
实战杀局欣赏D1.XQF,双车马双炮多兵双相,双车双马炮三卒双士象,2baka3/3r5/2n2R3/p3C3p/4n1pc1/4C4/P3P1P1P/4B4/1R2K4/2Br1N3 w,1,11,e1f1 c7e6 f7f9 e9e8 b1b7 d0d7 f9f6 e8e9 f6e6 d9e8 e6h6
实战杀局欣赏D5.XQF,车双马双炮三兵仕相全,车马双炮三卒士象全,2ba1ab2/3knR3/4N4/p1p3C2/1P7/6pC1/P7P/cc1ABKN2/7r1/3A2B2 w,1,11,e7c6 d8d7 c6e5 d7d8 e5f7 d8d7 g6g7 c9e7 f7e5 d7d8 e5c6
实战杀局欣赏D6.XQF,双车马双兵仕相全,车双马炮双卒士象,6b2/R3aR3/4k4/2Ncpn1r1/8p/9/2P1n1P2/3A5/4A4/2B1K1B2 w,1,11,a8a7 e8d7 a7d7 e7d7 f8f7 g9e7 c6b8 d7d8 f7f8 f6e8 b8c6
